"document_id","insurance_record_id","registration","document_type","document_role","storage_bucket","storage_path","original_file_name","mime_type","file_size_bytes","database_reference_exists","associated_insurance_record_exists","storage_object_resolves","appears_orphaned","uploaded_by","created_at","updated_at"
"7989fabb-0eb0-40c1-83c8-3901328adf48","8c944d1e-6828-4d40-8f94-bc3cb2d7f341","65-6919","insurance","Main insurance","insurance-documents","8c944d1e-6828-4d40-8f94-bc3cb2d7f341/insurance/1789966625247-65-6919-Main.pdf","65-6919 Main.pdf","application/pdf","1145503","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T11:57:03.3348510+07:00","2026-09-21T11:57:06.6720000+07:00"
"f400721f-a749-4b55-888e-87a9db19115d","8e6e762a-cec5-4d4b-bc1b-5ae97afda5f8","68-7154","insurance","Main insurance","insurance-documents","8e6e762a-cec5-4d4b-bc1b-5ae97afda5f8/insurance/1789962200975-68-7154-Main-Insurance.pdf","68-7154 Main Insurance.pdf","application/pdf","1764212","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T10:43:19.0383170+07:00","2026-09-21T10:43:22.5440000+07:00"
"2f06d973-6596-4d92-922c-bb908e436a1c","8e8995b2-099c-41d6-9800-637a193048e3","6กค-782","insurance","Main insurance","insurance-documents","8e8995b2-099c-41d6-9800-637a193048e3/insurance/1789971668230-782-Main.pdf","782 Main.pdf","application/pdf","885110","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T13:21:06.4856770+07:00","2026-09-21T13:21:09.7560000+07:00"
"8861defa-a801-4656-bd9c-8cbfd270b1dc","8fd4f71d-63f7-4a4f-85e6-3b5495d1de64","701-5145","compulsory","Compulsory insurance","insurance-documents","8fd4f71d-63f7-4a4f-85e6-3b5495d1de64/compulsory/1789964236267-701-5145-Compulsory.pdf","701-5145 Compulsory.pdf","application/pdf","1242618","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T11:17:14.0761740+07:00","2026-09-21T11:17:17.4000000+07:00"
"1acda034-57d4-4c80-84e9-e9fde0ff9e5f","8fd4f71d-63f7-4a4f-85e6-3b5495d1de64","701-5145","insurance","Main insurance","insurance-documents","8fd4f71d-63f7-4a4f-85e6-3b5495d1de64/insurance/1789964228426-701-5145-Main-Insurance-.pdf","701-5145 Main Insurance .pdf","application/pdf","1209024","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T11:17:06.5697160+07:00","2026-09-21T11:17:09.7680000+07:00"
"6d05d093-278f-45d2-b231-c6db338a0cea","a39444f7-8cd9-445f-a5bf-194bba476129","ญค-280","insurance","Main insurance","insurance-documents","a39444f7-8cd9-445f-a5bf-194bba476129/insurance/1789971184049-280-Main.pdf","280 Main.pdf","application/pdf","1562105","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T13:13:02.4275560+07:00","2026-09-21T13:13:05.6160000+07:00"
"e70052ac-4558-4f2b-b305-8aeacf9f3dc9","b9847050-101a-41e2-ba2c-9fc7680e5d7a","4ฒล-4565","compulsory","Compulsory insurance","insurance-documents","b9847050-101a-41e2-ba2c-9fc7680e5d7a/compulsory/1789982663525-4565-Compulsory-.pdf","4565 Compulsory .pdf","application/pdf","1597316","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T16:24:22.3377630+07:00","2026-09-21T16:24:25.3660000+07:00"
"cfce4c36-40b6-4a06-a50b-7f9cbbb95a33","b9847050-101a-41e2-ba2c-9fc7680e5d7a","4ฒล-4565","insurance","Main insurance","insurance-documents","b9847050-101a-41e2-ba2c-9fc7680e5d7a/insurance/1789982656239-4565-Main.pdf","4565 Main.pdf","application/pdf","1483931","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T16:24:14.7549540+07:00","2026-09-21T16:24:17.7680000+07:00"
"eb3d7342-8909-43e6-b94f-b7f9cc5bd892","bffcfab3-0d49-47bb-bc41-d2bce6c2a87b","79-5318","insurance","Main insurance","insurance-documents","bffcfab3-0d49-47bb-bc41-d2bce6c2a87b/insurance/1789970318007-79-5318-Main.pdf","79-5318 Main.pdf","application/pdf","1232515","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T12:58:35.8452090+07:00","2026-09-21T12:58:39.1360000+07:00"
"8cb3021a-04bf-4d07-b1c3-1ad232e6e971","d5f1a76c-0086-4e5e-a6fa-166c62760dec","4กข-98","compulsory","Compulsory insurance","insurance-documents","d5f1a76c-0086-4e5e-a6fa-166c62760dec/compulsory/1789984802180-98-Compulsory-.pdf","98 Compulsory .pdf","application/pdf","1570063","Yes","Yes","Yes","No","6b36f383-28e0-48aa-99a0-c1e655d6c3f7","2026-09-21T16:59:58.4093160+07:00","2026-09-21T17:00:03.6700000+07:00"
