Month,Excel Registration,Canonical App Registration,Vehicle Match?,Excel Fuel,Fuel Spend Report Fuel,Vehicle Performance Fuel,Difference,Status
4,62-4337,62-4337,Yes,73260.20,73260.20,73260.20,0.00,Ready
4,63-3543,63-3543,Yes,66260.40,66260.40,66260.40,0.00,Ready
4,64-0359,64-0359,Yes,38270.03,38270.03,38270.03,0.00,Ready
4,64-5954,64-5954,Yes,93405.10,93405.10,93405.10,0.00,Ready
4,64-5956,64-5956,Yes,85150.00,85250.00,85250.00,100.00,Fuel mismatch
4,64-8665,64-8665,Yes,55783.50,55783.50,55783.50,0.00,Ready
4,68-7154,68-7154,Yes,80540.00,80540.00,80540.00,0.00,Ready
4,700-4145,700-4145,Yes,75910.50,75910.50,75910.50,0.00,Ready
4,700-6659,700-6659,Yes,71280.20,71280.20,71280.20,0.00,Ready
4,701-1654,701-1654,Yes,88970.00,88970.00,88970.00,0.00,Ready
4,74-8969,74-8969,Yes,18190.30,18190.30,18190.30,0.00,Ready
4,78-6996,78-6996,Yes,86636.60,85636.60,85636.60,-1000.00,Fuel mismatch
4,79-2945,79-2945,Yes,34000.00,25000.00,25000.00,-9000.00,Fuel mismatch
4,79-5318,79-5318,Yes,113735.60,113735.60,113735.60,0.00,Ready
4,ฒอ-8453,8453,Yes,4710.30,4710.30,4710.30,0.00,Ready
4,701-5145,701-5145,Yes,0.00,0.00,0.00,0.00,Ready
5,3ฒน-9565,9565,Yes,17540.00,20640.00,20640.00,3100.00,Fuel mismatch
5,3ฒล-4565,4565,Yes,13409.99,13410.00,13410.00,0.01,Ready
5,61-2835,61-2835,Yes,86846.90,86846.80,86846.80,-0.10,Ready
5,61-6672,61-6672,Yes,117320.68,129170.30,129170.30,11849.62,Fuel mismatch
5,62-1085,62-1085,Yes,77940.00,77940.00,77940.00,0.00,Ready
5,62-4337,62-4337,Yes,57280.00,57280.00,57280.00,0.00,Ready
5,63-3543,63-3543,Yes,72790.00,72790.00,72790.00,0.00,Ready
5,64-0359,64-0359,Yes,36670.00,36670.00,36670.00,0.00,Ready
5,64-5954,64-5954,Yes,81970.00,81970.00,81970.00,0.00,Ready
5,64-5956,64-5956,Yes,81840.00,95000.00,95000.00,13160.00,Fuel mismatch
5,64-8665,64-8665,Yes,70594.60,70559.60,70559.60,-35.00,Fuel mismatch
5,68-7154,68-7154,Yes,73930.00,83060.00,83060.00,9130.00,Fuel mismatch
5,700-4145,700-4145,Yes,83041.10,83091.10,83091.10,50.00,Fuel mismatch
5,700-6659,700-6659,Yes,92070.00,92070.00,92070.00,0.00,Ready
5,701-1654,701-1654,Yes,66690.00,72190.00,72190.00,5500.00,Fuel mismatch
5,701-5145,701-5145,Yes,0.00,0.00,0.00,0.00,Ready
5,74-8969,74-8969,Yes,32050.00,26950.00,26950.00,-5100.00,Fuel mismatch
5,78-6996,78-6996,Yes,74321.30,74321.30,74321.30,-0.00,Ready
5,79-2945,79-2945,Yes,96248.10,104298.10,104298.10,8050.00,Fuel mismatch
5,79-5318,79-5318,Yes,112255.00,112255.00,112255.00,0.00,Ready
5,ฒอ-8453,8453,Yes,9419.33,9418.20,9418.20,-1.13,Fuel mismatch
6,3ฒน-9565,9565,Yes,27310.00,27310.00,27310.00,0.00,Ready
6,3ฒล-4565,4565,Yes,14250.00,14250.00,14250.00,0.00,Ready
6,61-2835,61-2835,Yes,63490.00,63490.00,63490.00,0.00,Ready
6,61-6672,61-6672,Yes,66770.40,66770.40,66770.40,0.00,Ready
6,62-1085,62-1085,Yes,81960.00,81960.00,81960.00,0.00,Ready
6,62-4337,62-4337,Yes,80666.00,80660.00,80660.00,-6.00,Fuel mismatch
6,63-3543,63-3543,Yes,59290.00,59290.00,59290.00,0.00,Ready
6,64-0359,64-0359,Yes,31920.00,31920.00,31920.00,0.00,Ready
6,64-5954,64-5954,Yes,96779.70,96779.70,96779.70,0.00,Ready
6,64-5956,64-5956,Yes,55070.00,55070.00,55070.00,0.00,Ready
6,64-8665,64-8665,Yes,73749.00,73749.00,73749.00,0.00,Ready
6,68-7154,68-7154,Yes,88960.10,88900.10,88900.10,-60.00,Fuel mismatch
6,700-4145,700-4145,Yes,67810.00,67810.00,67810.00,0.00,Ready
6,700-6659,700-6659,Yes,102800.10,102800.10,102800.10,0.00,Ready
6,701-1654,701-1654,Yes,92850.00,92850.00,92850.00,0.00,Ready
6,701-5145,701-5145,Yes,16000.00,16000.00,16000.00,0.00,Ready
6,74-8969,74-8969,Yes,34370.60,34370.60,34370.60,0.00,Ready
6,78-6996,78-6996,Yes,91940.00,91940.00,91940.00,0.00,Ready
6,79-2945,79-2945,Yes,79190.00,79190.00,79190.00,0.00,Ready
6,79-5318,79-5318,Yes,118700.00,118700.00,118700.00,0.00,Ready
6,ฒอ-8453,8453,Yes,13605.17,13605.17,13605.17,0.00,Ready
7,3ฒน-9565,9565,Yes,24710.00,24710.00,24710.00,0.00,Ready
7,3ฒล-4565,4565,Yes,14690.00,14090.00,14090.00,-600.00,Fuel mismatch
7,61-2835,61-2835,Yes,51715.50,51715.50,51715.50,0.00,Ready
7,61-6672,61-6672,Yes,90870.00,90870.00,90870.00,0.00,Ready
7,62-1085,62-1085,Yes,73670.10,73670.10,73670.10,0.00,Ready
7,62-4337,62-4337,Yes,73665.00,73685.00,73685.00,20.00,Fuel mismatch
7,63-3543,63-3543,Yes,58290.00,58290.00,58290.00,0.00,Ready
7,64-0359,64-0359,Yes,34160.20,34160.20,34160.20,0.00,Ready
7,64-5954,64-5954,Yes,75460.50,75410.50,75410.50,-50.00,Fuel mismatch
7,64-5956,64-5956,Yes,57550.00,57550.00,57550.00,0.00,Ready
7,64-8665,64-8665,Yes,76240.00,70240.00,70240.00,-6000.00,Fuel mismatch
7,68-7154,68-7154,Yes,73320.50,73320.50,73320.50,0.00,Ready
7,700-4145,700-4145,Yes,78144.20,78799.90,78799.90,655.70,Fuel mismatch
7,700-6659,700-6659,Yes,73040.00,73090.00,73090.00,50.00,Fuel mismatch
7,701-1654,701-1654,Yes,87640.24,87690.29,87690.29,50.05,Fuel mismatch
7,701-5145,701-5145,Yes,79350.00,79350.00,79350.00,0.00,Ready
7,74-8969,74-8969,Yes,34287.60,39287.60,39287.60,5000.00,Fuel mismatch
7,78-6996,78-6996,Yes,75444.10,75449.10,75449.10,5.00,Fuel mismatch
7,79-2945,79-2945,Yes,105866.80,105866.80,105866.80,0.00,Ready
7,79-5318,79-5318,Yes,103269.00,103209.00,103209.00,-60.00,Fuel mismatch
7,ฒอ-8453,8453,Yes,10315.20,10315.20,10315.20,0.00,Ready
